案件序号,当事人姓名,职务/身份,涉案金额,主要犯罪事实,判决/处理结果,通报/宣判时间,备注
1,谭瑞松,中国航空工业集团原党组书记、董事长,贪污8993万元；受贿6.13亿余元,2003-2010年非法占有公共财物；1998-2024年为他人谋利受贿；内幕交易,贪污罪判15年罚500万；受贿罪等；死缓,2026-03-25,一审宣判
2,寇伟,中国大唐集团原党组副书记、总经理,贪污5593万余元；受贿超亿元,2001-2012年套取电站建设资金；伙同他人非法占有；违规担保,受贿罪死缓；贪污罪12年罚300万；数罪并罚,2026-04-01,一审宣判
3,陈欧珀,台湾民进党前民意代表,收贿463万新台币；诈领411万新台币,2016-2023年护航业者收贿；2012-2022年浮报助理费诈领补助,贪污等罪判16年，褫夺公权6年,2026-04-14,一审宣判
4,周某某,湖南某县住房保障中心原主任,993万元,10年间用个人收款码收专项维修资金；虚假收据截留资金,贪污罪11年6个月罚100万,2023-12-04,两高典型案例
5,李某,江西某镇政府医保所工作人员,27万余元,2019-2022年侵吞村民医保费用于个人开支,贪污罪2年罚10万；全额退赃,2024-12-09,最高法典型案例
6,殷美根,江西省人大常委会原党组副书记、副主任,2.07亿余元,2003-2023年为工程承揽、企业经营谋利受贿,受贿罪死缓，没收全部财产,2025-04-15,一审宣判
7,张宏璞,山东省农业农村厅原党组成员、副厅长,巨额,侵吞公款；权钱交易、收受巨额财物,开除党籍、公职；移送司法,2026-02-13,双开通报
8,王根顺,德宏师范高等专科学校原党委书记,未公开,多次收高档烟酒、家电；其他严重违纪违法,开除党籍、公职；移送司法,2025-10-15,云南通报
9,陈松泉,兰坪县民政局原局长,未公开,多次收高档烟酒茶、品牌箱包等；其他违纪违法,开除党籍、公职；移送司法,2025-07-20,云南通报
10,刘志强,国家能源局原副局长,8700万元,2008-2020年在能源项目审批中收受巨额贿赂；为多家企业违规批项目,受贿罪无期，没收个人全部财产,2026-01-10,一审宣判
11,赵晓东,江苏省自然资源厅原副厅长,3400万元,2010-2022年土地出让、项目规划中为他人谋利；收受房产、商铺,受贿罪15年，罚金800万,2025-09-28,一审宣判
12,孙海涛,河南省交通厅原厅长,1.28亿元,2005-2019年高速公路建设中串通投标；收受施工方贿赂；违规指定材料供应商,受贿罪死缓，罚没全部违法所得,2025-11-15,一审宣判
13,周家华,广州市规划和自然资源局原局长,2150万元,2012-2021年为房地产项目调规审批提供帮助；收受现金及购物卡,受贿罪13年，罚金300万,2026-03-05,一审宣判
14,吴光明,安徽省生态环境厅原副厅长,689万元,2015-2022年环评审批中收受贿赂；为企业违规通过环评提供便利,受贿罪10年，罚金150万,2025-08-12,一审宣判
15,郑海峰,山西省煤炭监督管理局原局长,4.3亿元,2006-2020年煤矿产能核定、安全检查中收受贿赂；违规为不合格煤矿办理生产许可,受贿罪死缓，没收全部财产,2026-02-20,一审宣判
16,王立平,湖南省纪委原副书记,未公开,2010-2023年利用纪检监察职权为他人摆平案件；收受高档礼品及现金,开除党籍、公职；移送司法,2025-12-08,双开通报
17,陈国栋,四川省住建厅原副厅长,1560万元,2009-2021年在建筑企业资质审批、工程招标中收受贿赂,受贿罪12年，罚金400万,2025-10-30,一审宣判
18,李秀英,黑龙江省民政厅原厅长,823万元,2013-2020年在社会救助资金分配、养老项目审批中收受贿赂；虚列名目套取专项资金,贪污罪8年；受贿罪6年，数罪并罚12年，罚金200万,2025-07-15,一审宣判
19,黄建新,重庆市交通委员会原副主任,3900万元,2007-2019年在轨道交通项目招标、工程款拨付中收受贿赂；为特定企业量身定制招标条件,受贿罪15年，罚没违法所得,2026-01-22,一审宣判
20,徐长顺,辽宁省财政厅原副厅长,1200万元,2011-2020年财政专项资金拨付中收受好处费；虚报项目套取转移支付资金,贪污罪7年；受贿罪5年，数罪并罚10年，罚金250万,2025-06-18,一审宣判
21,马艳红,云南省教育厅原副厅长,560万元,2014-2022年在教材采购、教育工程招标中收受回扣；为特定书商垄断教材供应提供帮助,受贿罪9年，罚金120万,2025-09-05,一审宣判
22,蒋大为,河北省自然资源厅原总规划师,1800万元,2008-2021年在土地征收、用地审批中为房地产公司谋利；收受房产及现金,受贿罪11年，罚金350万,2026-03-10,一审宣判
23,秦书海,贵州省扶贫办原副主任,340万元,2016-2021年扶贫项目资金分配中优亲厚友；虚报扶贫项目套取资金,贪污罪6年；滥用职权罪3年，数罪并罚7年，罚金80万,2025-04-25,一审宣判
24,韩明远,陕西省卫健委原副主任,920万元,2015-2022年在医疗设备采购、药品招标中收受经销商回扣；为特定药品进入医保目录提供帮助,受贿罪10年，罚金200万,2025-11-02,一审宣判
25,钟南山（化名）,中部某省财政厅原处长,67万元,2019-2023年虚列会议费、培训费套取财政资金；将部分资金用于个人消费,贪污罪3年，缓刑4年，罚金20万,2024-11-15,两高典型案例
26,冯小刚,黑龙江省公安厅原副厅长,未公开,2012-2022年利用刑事案件处理权为他人摆平案件；收受高档烟酒及现金,开除党籍、公职；移送司法,2025-08-30,双开通报
27,田伟,浙江省发改委原副主任,5200万元,2008-2020年在重大项目建设审批、产业政策扶持中为多家企业谋利；持有干股并收受分红,受贿罪死缓，没收全部财产,2026-02-05,一审宣判
28,彭建国,广西壮族自治区交通厅原厅长,2.8亿元,2004-2019年在高速公路、普通公路建设中串通投标；收受10余家施工企业贿赂,受贿罪死缓，数罪并罚没收全部财产,2025-12-20,一审宣判
29,谢文华,福建省海洋与渔业局原局长,1350万元,2010-2021年在海域使用审批、渔政执法中收受贿赂；为违法用海项目办理许可,受贿罪11年，罚金300万,2026-01-08,一审宣判
30,丁一凡,天津市规划和自然资源局原副局长,780万元,2013-2020年在土地出让金返还、规划指标调整中为房地产公司提供帮助,受贿罪8年，罚金180万,2025-10-12,一审宣判
31,许家印,恒大集团创始人,77亿美元,涉非法集资、行贿等多项罪名，利用离岸信托隐匿资产,当庭认罪，资产被冻结并由清盘人接管,2026-04-14,联网补全
32,陈凯,福州首富、凯旋集团法人代表,近3亿元,组织领导黑社会性质组织、行贿、组织卖淫等,一审被判处死刑,2005-01-22,
33,许家印,恒大集团创始人、原董事局主席,未明确具体金额，但涉及恒大巨额债务（超2万亿元）及欺诈案,涉嫌恒大欺诈案，包括财务造假、非法集资、挪用资金等行为,已认罪悔罪，被监视居住，案件正在审理中,,联网补全
